	Class name	bird	cat	cow	dog	horse	sheep	aeroplane	bicycle	boat	bus	car	motorbike	train	bottle	chair	table	potted plant	sofa	tv	person
0	bird	1.0	0.75	0.643	0.783	0.72	0.692	0.364	0.421	0.381	0.421	0.381	0.381	0.421	0.421	0.4	0.4	0.667	0.4	0.4	0.706
1	cat	0.75	1.0	0.688	0.857	0.759	0.733	0.308	0.348	0.32	0.348	0.32	0.32	0.348	0.348	0.333	0.333	0.545	0.333	0.333	0.571
2	cow	0.643	0.688	1.0	0.688	0.727	0.882	0.267	0.296	0.276	0.296	0.276	0.276	0.296	0.296	0.286	0.286	0.462	0.286	0.286	0.48
3	dog	0.783	0.857	0.688	1.0	0.759	0.733	0.381	0.444	0.4	0.444	0.4	0.4	0.444	0.444	0.421	0.421	0.706	0.421	0.421	0.75
4	horse	0.72	0.759	0.727	0.759	1.0	0.774	0.296	0.333	0.308	0.333	0.308	0.308	0.333	0.333	0.32	0.32	0.522	0.32	0.32	0.545
5	sheep	0.692	0.733	0.882	0.733	0.774	1.0	0.286	0.32	0.296	0.32	0.296	0.296	0.32	0.32	0.308	0.308	0.5	0.308	0.308	0.522
6	aeroplane	0.364	0.308	0.267	0.381	0.296	0.286	1.0	0.727	0.783	0.667	0.667	0.667	0.667	0.571	0.545	0.545	0.4	0.545	0.545	0.421
7	bicycle	0.421	0.348	0.296	0.444	0.333	0.32	0.727	1.0	0.762	0.737	0.727	0.727	0.737	0.778	0.632	0.632	0.471	0.632	0.632	0.5
8	boat	0.381	0.32	0.276	0.4	0.308	0.296	0.783	0.762	1.0	0.7	0.696	0.696	0.7	0.6	0.571	0.571	0.421	0.571	0.571	0.444
9	bus	0.421	0.348	0.296	0.444	0.333	0.32	0.667	0.737	0.7	1.0	0.667	0.667	0.889	0.667	0.632	0.632	0.471	0.632	0.632	0.5
10	car	0.381	0.32	0.276	0.4	0.308	0.296	0.667	0.727	0.696	0.667	1.0	0.917	0.667	0.7	0.571	0.571	0.421	0.571	0.571	0.444
11	motorbike	0.381	0.32	0.276	0.4	0.308	0.296	0.667	0.727	0.696	0.667	0.917	1.0	0.667	0.7	0.571	0.571	0.421	0.571	0.571	0.444
12	train	0.421	0.348	0.296	0.444	0.333	0.32	0.667	0.737	0.7	0.889	0.667	0.667	1.0	0.667	0.632	0.632	0.471	0.632	0.632	0.5
13	bottle	0.421	0.348	0.296	0.444	0.333	0.32	0.571	0.778	0.6	0.667	0.7	0.7	0.667	1.0	0.632	0.632	0.471	0.632	0.632	0.5
14	chair	0.4	0.333	0.286	0.421	0.32	0.308	0.545	0.632	0.571	0.632	0.571	0.571	0.632	0.632	1.0	0.8	0.444	0.9	0.6	0.471
15	table	0.4	0.333	0.286	0.421	0.32	0.308	0.545	0.632	0.571	0.632	0.571	0.571	0.632	0.632	0.8	1.0	0.444	0.8	0.6	0.471
16	potted plant	0.667	0.545	0.462	0.706	0.522	0.5	0.4	0.471	0.421	0.471	0.421	0.421	0.471	0.471	0.444	0.444	1.0	0.444	0.444	0.8
17	sofa	0.4	0.333	0.286	0.421	0.32	0.308	0.545	0.632	0.571	0.632	0.571	0.571	0.632	0.632	0.9	0.8	0.444	1.0	0.6	0.471
18	tv	0.4	0.333	0.286	0.421	0.32	0.308	0.545	0.632	0.571	0.632	0.571	0.571	0.632	0.632	0.6	0.6	0.444	0.6	1.0	0.471
19	person	0.706	0.571	0.48	0.75	0.545	0.522	0.421	0.5	0.444	0.5	0.444	0.444	0.5	0.5	0.471	0.471	0.8	0.471	0.471	1.0
